event_id,timestamp,threat_vector,actor_id,actor_role,target_resource,action_executed,associated_ticket_id,execution_time_delta,data_volume_kb,temporal_hour,is_anomaly
d40a3d6b-7c7a-44d7-bb53-09bd2ea43a2d,2025-12-08T16:03:46,NONE,USR-4841,developer,kyc-verification-service,GET /api/v2/accounts,INC-424489,330.619,58.99,16,0
b6dbf531-0f2f-48da-f072-ce56fc696768,2025-12-22T12:01:49,NONE,USR-3892,business_analyst,settlement-engine,MERGE PR #338 feature/rate-limiter,NULL,336.025,132.5,12,0
00b3b54e-e2b0-419d-f6f0-e1d5c4c5e6fa,2025-12-27T02:49:02,NONE,USR-1999,analyst,settlement-engine,POST /api/v2/auth/login,INC-985901,288.777,111.6,2,0
6a984410-a61f-477c-7fc3-79433f081e79,2025-04-20T02:10:00,NONE,USR-7932,analyst,payment-gateway,PATCH /api/v2/settings,NULL,454.062,38.89,2,0
84febdac-bdee-4054-84fe-60666d030fde,2025-01-24T12:57:41,NONE,USR-2123,operations_engineer,transaction-db,MERGE PR #338 feature/rate-limiter,INC-502478,290.783,127.15,12,0
cf613bf6-196a-41ed-4251-a3a5123f335d,2025-09-29T03:00:33,NONE,USR-1807,network_engineer,fraud-detection-engine,DEPLOY application-service v2.1.3,INC-504872,312.25,105.99,3,0
55e1e005-7994-4a2f-b656-87bb2ce9a208,2025-11-16T02:23:51,NONE,USR-5468,analyst,data-warehouse,MERGE PR #338 feature/rate-limiter,INC-919234,440.399,91.27,2,0
35033b32-1dc5-431c-61d5-561099d4e31b,2025-04-05T18:38:14,NONE,USR-3790,operations_engineer,data-warehouse,POST /api/v2/auth/login,INC-408280,288.763,57.76,18,0
45115191-04b0-4242-e62a-2b70e0dbe155,2025-04-05T22:17:51,NONE,USR-5927,product_manager,compliance-db,GET /api/v2/customers/{id},INC-704111,328.566,33.96,22,0
291c78f6-6483-4e59-191e-cae660c4cdb7,2025-11-14T20:55:08,NONE,USR-6287,support_engineer,compliance-db,PUT /api/v2/customers/{id}/profile,INC-123463,186.124,76.55,20,0
ad94a0aa-797f-4406-761d-a8c05622aa31,2025-09-29T17:45:12,NONE,USR-2691,product_manager,config-service,GET /api/v2/fraud/alerts,INC-140260,370.968,66.18,17,0
2cd92b07-37db-44a6-4525-006f24468a72,2025-05-12T10:21:22,NONE,USR-2175,developer,config-service,GET /api/v2/accounts,NULL,198.241,66.9,10,0
a57ad584-98c7-4ac7-a1f7-04d1ee0fd1c0,2025-05-27T07:45:42,NONE,USR-1971,developer,fraud-detection-engine,GET /api/v2/accounts,INC-679802,410.75,153.73,7,0
8615c8c6-9828-48eb-949e-bd57f963934a,2025-01-12T04:31:23,NONE,USR-7567,analyst,transaction-db,GET /api/v2/risk/score/{id},INC-233350,420.027,84.11,4,0
7c394d94-64e7-49d3-fc58-b08a393607c8,2025-05-07T10:26:34,NONE,USR-6331,analyst,reporting-dashboard,GET /api/v2/settlements/pending,INC-802598,383.101,93.12,10,0
54454670-2ee8-4942-2ec4-f429f4c842e8,2025-07-01T09:10:24,NONE,USR-5875,analyst,compliance-db,INSERT INTO audit_log VALUES (?),INC-917551,380.95,89.05,9,0
4dec6845-9f59-4619-f757-92d9dfab7c75,2025-02-07T17:43:12,NONE,USR-4897,support_engineer,reporting-dashboard,GET /api/v2/accounts,INC-763667,209.466,121.95,17,0
3382dfb0-f341-49f2-a1e0-6346f4e949ea,2025-04-29T09:21:31,NONE,USR-8189,analyst,transaction-db,GET /api/v2/fraud/alerts,INC-243617,499.814,66.36,9,0
794fadd4-ed50-45e6-a9bf-6aa6c8e8aacf,2025-11-01T12:46:18,NONE,USR-1602,product_manager,config-service,PATCH /api/v2/settings,INC-997708,338.296,47.47,12,0
5919d288-b8c4-45dd-eee9-e2522deb1588,2025-05-04T16:55:54,NONE,USR-9336,data_engineer,batch-scheduler,SELECT * FROM accounts WHERE account_id = ?,INC-455667,416.689,87.24,16,0
96bf04be-aad7-44f1-e4fb-7d164c4565f4,2025-08-13T15:13:25,NONE,USR-3327,business_analyst,payment-gateway,PUT /api/v2/customers/{id}/profile,INC-956978,352.981,45.21,15,0
12cf58cb-6ae6-44e8-9b66-b42fedc9c371,2025-12-09T18:47:11,NONE,USR-5127,business_analyst,settlement-engine,POST /api/v2/auth/login,INC-948359,456.883,101.13,18,0
895ca4b4-3032-4953-e46c-59d3f659165c,2025-02-09T02:08:39,NONE,USR-5405,compliance_officer,audit-log-service,DEPLOY application-service v2.1.3,INC-743602,446.356,58.43,2,0
0e744df9-fe35-4762-ac4e-39d02f156f55,2025-05-28T22:52:32,NONE,USR-5827,qa_engineer,auth-service,SELECT * FROM accounts WHERE account_id = ?,INC-274671,328.185,212.15,22,0
67cbe12b-fad7-459d-5803-617ed0722ff2,2025-04-10T11:21:19,NONE,USR-6924,analyst,account-ledger-api,PATCH /api/v2/settings,INC-808443,288.02,135.94,11,0
1e0159d1-8341-4938-4d27-7ef7fd682efe,2025-02-04T20:41:07,NONE,USR-4427,qa_engineer,compliance-db,RUN test-suite:integration,INC-878551,562.703,78.13,20,0
47d4ebde-b55d-4c54-bcaf-edbfcfc9c591,2025-01-15T05:24:46,NONE,USR-8616,product_manager,risk-scoring-api,RUN test-suite:integration,INC-905382,434.373,181.49,5,0
686264a6-2cc3-460d-e8d3-1d5a7a86d55c,2025-08-15T03:05:58,NONE,USR-1869,business_analyst,batch-scheduler,PUT /api/v2/customers/{id}/profile,INC-169284,498.384,57.38,3,0
a0f3507b-4ac3-451b-68e7-f47d37546a94,2025-02-09T02:38:39,NONE,USR-6719,business_analyst,risk-scoring-api,GET /api/v2/customers/{id},NULL,269.683,59.96,2,0
19eba873-aace-402f-57c3-e8aed2cc71be,2025-10-28T05:56:12,NONE,USR-3597,support_engineer,customer-portal,MERGE PR #338 feature/rate-limiter,NULL,50.0,34.21,5,0
ca077a3f-c2a8-43dd-b32f-9a59761544d0,2025-10-01T04:57:38,NONE,USR-6388,compliance_officer,batch-scheduler,POST /api/v2/kyc/verify,INC-677585,368.572,60.4,4,0
13c499d8-56c0-4d2b-3a83-cd3278f55762,2025-06-21T03:19:38,NONE,USR-4970,business_analyst,batch-scheduler,DELETE /api/v2/sessions/{id},INC-641358,371.188,81.94,3,0
861c72c4-db16-4c58-d32a-80dbaf575de3,2025-05-04T03:49:33,NONE,USR-5407,compliance_officer,batch-scheduler,POST /api/v2/kyc/verify,INC-102256,486.133,65.93,3,0
45e4aee2-608c-4fcb-09ca-1de2281dd281,2025-09-10T09:16:58,NONE,USR-9733,compliance_officer,kyc-verification-service,INSERT INTO audit_log VALUES (?),INC-559564,473.078,51.34,9,0
8993e1e5-c2fc-4b75-c442-1efa14f89a0e,2025-01-03T15:51:02,NONE,USR-6878,developer,customer-portal,BUILD pipeline:app-service #412,INC-776471,174.615,72.81,15,0
b1279d82-f734-430e-7b23-380a82ef01d0,2025-05-31T03:19:45,NONE,USR-4472,developer,account-ledger-api,POST /api/v2/auth/login,INC-386829,478.953,134.44,3,0
005e102d-ad73-49a8-ae6d-3d567136dd89,2025-03-06T07:14:28,NONE,USR-1233,analyst,fraud-detection-engine,PUT /api/v2/customers/{id}/profile,INC-708658,404.982,82.18,7,0
3d405647-2eda-460b-2daf-ac22e1f689ce,2025-07-11T17:18:40,NONE,USR-1171,operations_engineer,auth-service,DELETE /api/v2/sessions/{id},INC-491189,355.368,45.26,17,0
4b2a57e7-a337-4f13-8c42-3e2ff9e5155b,2025-05-11T02:14:28,NONE,USR-7809,support_engineer,data-warehouse,PUT /api/v2/customers/{id}/profile,INC-902439,157.173,140.18,2,0
89853407-776e-4e8b-671f-c204f8e58560,2025-10-20T21:44:58,NONE,USR-4140,operations_engineer,customer-portal,POST /api/v2/kyc/verify,INC-767487,316.582,81.01,21,0
10242646-2376-413a-cc2f-4db15883c38d,2025-03-04T15:56:42,NONE,USR-5927,data_engineer,config-service,SELECT * FROM accounts WHERE account_id = ?,INC-808317,338.111,80.13,15,0
4bc831ca-9142-41ef-989a-11322c8c73af,2025-12-11T20:56:21,NONE,USR-7167,operations_engineer,data-warehouse,SELECT * FROM accounts WHERE account_id = ?,INC-166381,331.124,86.66,20,0
08f851a8-4655-4fa7-1dfb-22ff1621ad81,2025-02-19T05:34:40,NONE,USR-6350,product_manager,fraud-detection-engine,GET /api/v2/audit/logs,NULL,340.55,82.12,5,0
62835108-c83e-45a6-3671-25928d7b1b5c,2025-01-14T09:58:59,NONE,USR-5151,developer,batch-scheduler,POST /api/v2/transactions,NULL,334.599,78.36,9,0
0e5eebe4-233f-498c-c3ed-8f197f820e4a,2025-10-31T19:34:32,NONE,USR-9223,business_analyst,payment-gateway,GET /api/v2/risk/score/{id},INC-524976,288.24,24.56,19,0
15abebd6-1b83-4237-444b-8557f5d728c5,2025-02-12T08:22:34,NONE,USR-3496,analyst,config-service,GET /api/v2/risk/score/{id},NULL,433.297,79.46,8,0
f8422902-1ddb-4a31-0dbf-a2737b3992d0,2025-09-16T07:42:55,NONE,USR-3978,qa_engineer,kyc-verification-service,MERGE PR #338 feature/rate-limiter,INC-883104,351.694,65.86,7,0
85a4bcd3-92db-44c4-5ffd-c0affd3b3398,2025-08-01T07:09:53,NONE,USR-8679,compliance_officer,notification-service,GET /api/v2/customers/{id},INC-140140,343.078,98.36,7,0
b8dee476-409e-41d6-8603-08087df06f5b,2025-10-17T12:23:55,NONE,USR-8464,operations_engineer,account-ledger-api,RUN test-suite:integration,INC-291483,340.824,154.72,12,0
636f9d71-b78b-4fb3-e928-6b0e5017bbc9,2025-03-09T13:50:08,NONE,USR-8858,operations_engineer,identity-provider,GET /api/v2/reports/daily,INC-334920,433.411,82.74,13,0
702f93bb-37fb-41cc-ff17-792ff3b74ca9,2025-05-20T14:00:05,NONE,USR-3038,qa_engineer,customer-portal,GET /api/v2/reports/daily,INC-953963,471.493,12.11,14,0
0c2f5123-ad65-4354-642f-54d53b93bc45,2025-09-03T03:45:19,NONE,USR-7413,product_manager,payment-gateway,UPDATE customer SET status = ? WHERE id = ?,INC-464234,244.227,71.32,3,0
f8c4e282-37c3-4daf-f7a6-99d782f3e4ad,2025-04-12T15:12:16,NONE,USR-7274,support_engineer,batch-scheduler,BUILD pipeline:app-service #412,INC-313534,269.152,144.21,15,0
30edbc4d-70cd-487b-8489-2328b3146cae,2025-07-23T03:50:49,NONE,USR-1897,analyst,identity-provider,POST /api/v2/auth/login,INC-378385,192.619,19.01,3,0
082db5ef-6a59-4729-91c7-9049a39a6718,2025-05-04T22:31:43,NONE,USR-5108,network_engineer,kyc-verification-service,PATCH /api/v2/settings,NULL,285.585,148.68,22,0
8a6c85cf-95cb-41b2-a56a-cc3e2fed7f0e,2025-09-01T01:02:15,NONE,USR-9042,developer,compliance-db,RUN test-suite:integration,INC-189268,293.533,131.74,1,0
bcb818ea-89cf-4e28-8145-23ea34f3f042,2025-06-17T17:59:43,NONE,USR-2551,product_manager,kyc-verification-service,RUN test-suite:integration,INC-775243,290.282,1.0,17,0
d0eb3a35-85be-408d-3e7e-c3af4c6fd496,2025-05-27T21:02:37,NONE,USR-7238,network_engineer,risk-scoring-api,UPDATE customer SET status = ? WHERE id = ?,INC-451410,381.259,99.62,21,0
8f042f86-0b9a-453a-6589-7885a69a06cd,2025-09-28T01:04:43,NONE,USR-7326,data_engineer,payment-gateway,INSERT INTO audit_log VALUES (?),INC-341146,302.418,165.65,1,0
4c5bac28-dabc-4271-58cf-54e169ac3d75,2025-10-11T03:18:25,NONE,USR-8172,support_engineer,fraud-detection-engine,POST /api/v2/auth/login,INC-360781,426.644,60.42,3,0
a44504ca-9863-471b-2d39-0e301779737b,2025-07-11T11:20:35,NONE,USR-1208,developer,risk-scoring-api,GET /api/v2/fraud/alerts,INC-878077,339.536,65.34,11,0
fef0e7e2-33ca-47ad-97e2-cc60b94e20c2,2025-03-19T02:39:29,NONE,USR-5194,business_analyst,risk-scoring-api,BUILD pipeline:app-service #412,INC-792220,331.031,89.45,2,0
374eb04e-6874-4f9a-b727-d584f7921bfd,2025-10-15T21:48:26,NONE,USR-9499,qa_engineer,auth-service,POST /api/v2/auth/login,INC-942457,473.389,8.55,21,0
b8a3c624-e586-4bf3-effe-e75782d1b907,2025-07-08T07:36:50,NONE,USR-4181,operations_engineer,kyc-verification-service,DEPLOY application-service v2.1.3,NULL,97.139,144.07,7,0
65e1e4d7-45b4-4527-4caf-82d26d9fbd51,2025-08-19T22:23:08,NONE,USR-2687,developer,notification-service,INSERT INTO audit_log VALUES (?),NULL,347.826,54.33,22,0
cf9cbfb3-abbb-4eea-351b-1b00a4677c4e,2025-09-08T22:52:00,NONE,USR-4828,developer,reporting-dashboard,PUT /api/v2/customers/{id}/profile,INC-625454,262.249,57.48,22,0
f21697c5-da31-4d24-8326-a1f869a7e60b,2025-05-07T07:33:18,NONE,USR-1778,compliance_officer,audit-log-service,SELECT * FROM accounts WHERE account_id = ?,INC-776791,355.183,75.31,7,0
6e2384cd-d71c-46d6-9548-1f14917d0f69,2025-09-02T19:05:00,NONE,USR-5507,analyst,data-warehouse,INSERT INTO audit_log VALUES (?),NULL,120.518,84.07,19,0
0a87e8ff-ff7e-4d96-fb2d-41a665cfca51,2025-04-14T15:22:43,NONE,USR-4119,developer,transaction-db,PUT /api/v2/customers/{id}/profile,INC-930048,65.421,92.58,15,0
b72c69d3-162f-487a-96ba-ac090cc80b85,2025-05-22T10:29:24,NONE,USR-3913,compliance_officer,risk-scoring-api,POST /api/v2/kyc/verify,INC-943350,422.041,110.88,10,0
a4e4c644-e89d-43b5-b7c1-f0244b02abfe,2025-11-01T00:21:30,NONE,USR-4762,compliance_officer,auth-service,GET /api/v2/reports/daily,INC-454440,458.732,128.56,0,0
70206731-c1cb-4d33-d6e9-0e1da441a30d,2025-08-06T19:43:20,NONE,USR-4862,network_engineer,fraud-detection-engine,BUILD pipeline:app-service #412,INC-323116,356.624,111.15,19,0
b652a827-0d0d-4011-71ec-1e93610d1b34,2025-02-03T12:17:18,NONE,USR-2961,product_manager,config-service,GET /api/v2/fraud/alerts,INC-762153,464.287,106.78,12,0
033eb1b9-d61d-4c4e-421a-e30c61e63bed,2025-10-27T23:37:50,NONE,USR-6315,developer,customer-portal,SELECT * FROM accounts WHERE account_id = ?,NULL,219.984,159.41,23,0
bac5fef8-2ae2-480b-8bfb-8654048010b8,2025-12-17T18:54:56,NONE,USR-6468,compliance_officer,transaction-db,GET /api/v2/reports/daily,INC-858902,476.507,146.9,18,0
48e9cc99-975f-4145-b0b2-103f73604233,2025-10-13T03:24:10,NONE,USR-2788,operations_engineer,kyc-verification-service,POST /api/v2/transactions,INC-438858,492.327,142.27,3,0
9d60f8f6-38be-4835-b921-628e9429aa83,2025-10-31T11:43:57,NONE,USR-7106,product_manager,data-warehouse,GET /api/v2/audit/logs,NULL,273.578,70.51,11,0
5022f677-69b8-45fe-d4bb-cc7fedfa2c9a,2025-06-09T15:33:46,NONE,USR-2381,data_engineer,auth-service,GET /api/v2/fraud/alerts,NULL,286.302,130.83,15,0
c6a8478e-cd5d-4d55-4c66-17df28174790,2025-11-15T11:27:36,NONE,USR-5662,developer,risk-scoring-api,POST /api/v2/transactions,INC-426931,232.904,1.0,11,0
880880e3-8a1b-4e30-6379-612902b07344,2025-07-07T08:26:12,NONE,USR-8039,network_engineer,risk-scoring-api,GET /api/v2/settlements/pending,INC-217080,359.211,98.67,8,0
33f13d49-1011-4f09-ec0f-fea93793c6bb,2025-01-10T19:16:35,NONE,USR-1500,data_engineer,reporting-dashboard,UPDATE customer SET status = ? WHERE id = ?,NULL,304.62,174.64,19,0
74752e76-8123-4d8d-4b5e-3786ae16ce9d,2025-06-07T20:06:09,NONE,USR-4253,support_engineer,identity-provider,UPDATE customer SET status = ? WHERE id = ?,NULL,392.727,73.1,20,0
70ea426f-bc88-4c59-106c-f6e703f88258,2025-02-17T22:23:06,NONE,USR-5851,analyst,payment-gateway,GET /api/v2/customers/{id},INC-207587,288.576,95.24,22,0
8a87f27c-bbc6-4f57-ff52-5aadb2999372,2025-02-10T02:09:25,NONE,USR-1835,developer,transaction-db,GET /api/v2/settlements/pending,INC-477603,277.11,103.63,2,0
05e4234f-fd1d-4a63-1c6b-776dba1085cd,2025-02-28T04:31:23,NONE,USR-5649,qa_engineer,config-service,UPDATE customer SET status = ? WHERE id = ?,INC-568190,206.714,81.47,4,0
de661d89-bb4a-4abc-6936-d26c470fe4d0,2025-04-18T03:09:08,NONE,USR-6477,business_analyst,audit-log-service,DELETE /api/v2/sessions/{id},NULL,458.831,76.82,3,0
5f1cedcd-f6a7-45be-5431-af2d6fcf4a44,2025-09-25T11:08:46,NONE,USR-3999,product_manager,batch-scheduler,POST /api/v2/kyc/verify,NULL,345.938,127.22,11,0
7fdbffef-ef1c-4e85-1e52-d502b622ea97,2025-06-02T07:37:08,NONE,USR-7872,network_engineer,notification-service,GET /api/v2/audit/logs,NULL,245.148,89.97,7,0
ff243aff-75d0-4844-759a-292ad46a2042,2025-02-27T13:24:30,NONE,USR-7591,analyst,batch-scheduler,GET /api/v2/fraud/alerts,INC-190871,363.811,59.0,13,0
a6c64073-a073-48c1-f928-f06c55c1038f,2025-04-15T01:13:53,NONE,USR-9776,data_engineer,transaction-db,GET /api/v2/audit/logs,INC-374312,418.62,112.27,1,0
4459e173-6183-4e3b-57a6-2c2360c3f2bf,2025-08-09T07:09:47,NONE,USR-6208,developer,kyc-verification-service,GET /api/v2/risk/score/{id},INC-357220,353.606,51.12,7,0
a8f7c29c-44bb-4727-52fd-38c13781edaa,2025-09-17T11:40:03,NONE,USR-8047,operations_engineer,config-service,GET /api/v2/fraud/alerts,INC-668507,172.964,177.55,11,0
3ad7201c-7e68-4e78-6445-bf0389fbcda3,2025-07-31T04:43:56,NONE,USR-5390,developer,fraud-detection-engine,GET /api/v2/settlements/pending,INC-660694,387.019,47.1,4,0
de3a161f-49a9-427f-c805-470ded873bac,2025-09-28T04:57:21,NONE,USR-7837,qa_engineer,auth-service,GET /api/v2/risk/score/{id},INC-453687,273.928,123.61,4,0
5a36ce72-985a-4330-2faf-e4b2056e196e,2025-02-17T07:57:21,NONE,USR-7423,compliance_officer,account-ledger-api,GET /api/v2/customers/{id},INC-162676,306.28,108.57,7,0
906c2d56-76b4-4312-c442-50412bca8e75,2025-11-01T15:52:09,NONE,USR-7722,analyst,compliance-db,BUILD pipeline:app-service #412,INC-739404,200.483,114.72,15,0
39c6d582-f811-48a8-83c6-cc2be371fca1,2025-05-19T21:23:44,NONE,USR-1130,compliance_officer,identity-provider,POST /api/v2/transactions,INC-299891,460.104,108.25,21,0
1809d110-2c9b-4411-3b6a-de73a1c071c2,2025-09-20T21:30:13,NONE,USR-1493,compliance_officer,compliance-db,GET /api/v2/customers/{id},INC-221032,486.526,58.63,21,0
a2022b36-d20c-41c3-537d-1857f3f73a9d,2025-10-06T09:57:04,NONE,USR-4544,analyst,transaction-db,PUT /api/v2/customers/{id}/profile,NULL,314.742,154.21,9,0
e03458df-cd3f-4735-31af-3a830afd6ba5,2025-01-08T14:28:40,NONE,USR-7471,business_analyst,account-ledger-api,UPDATE customer SET status = ? WHERE id = ?,NULL,290.564,51.47,14,0
bdf3edfd-4c53-473c-dd4a-4322e1eb042d,2025-05-23T14:49:00,NONE,USR-7920,compliance_officer,settlement-engine,MERGE PR #338 feature/rate-limiter,INC-784671,260.696,115.91,14,0
c0610ca8-477d-4790-3399-0f9f0f0fdae1,2025-05-26T10:51:22,NONE,USR-3444,support_engineer,config-service,RUN test-suite:integration,INC-723760,253.806,141.13,10,0
8a16c7e0-42f1-4287-02ee-3653e89a0166,2025-02-19T20:12:38,NONE,USR-6674,qa_engineer,data-warehouse,POST /api/v2/auth/login,INC-414074,605.516,1.0,20,0
889bc71f-aef9-445d-3b14-8abfcd72a81c,2025-11-14T13:01:12,NONE,USR-7225,support_engineer,audit-log-service,POST /api/v2/kyc/verify,INC-453264,219.345,41.92,13,0
23367a49-2ad9-4b85-4e04-7d4b3223b169,2025-01-07T16:41:18,NONE,USR-6690,analyst,payment-gateway,POST /api/v2/kyc/verify,INC-531881,227.191,71.13,16,0
5fd28631-2a08-4340-32a6-92bb236452b8,2025-09-15T02:41:19,NONE,USR-7930,analyst,data-warehouse,GET /api/v2/risk/score/{id},INC-560354,253.642,59.37,2,0
56a16956-8b5b-42c1-b03d-a9bc24ac0894,2025-12-02T05:05:38,NONE,USR-7764,developer,compliance-db,POST /api/v2/kyc/verify,INC-192229,212.924,139.32,5,0
c0c09610-0d69-4dc9-7769-1aa08910b9de,2025-02-18T11:27:58,NONE,USR-3064,product_manager,config-service,GET /api/v2/risk/score/{id},INC-168187,546.414,42.59,11,0
ff307e5d-89b8-4291-f91b-54cb6bd3dafd,2025-04-26T17:49:27,NONE,USR-1833,support_engineer,identity-provider,GET /api/v2/settlements/pending,INC-161118,378.006,78.83,17,0
fdc9b2f6-1a46-4e1a-a6f1-bd3c86f65bc0,2025-02-26T21:04:01,NONE,USR-6668,network_engineer,data-warehouse,POST /api/v2/auth/login,INC-680407,408.911,1.0,21,0
8f5bce59-d28b-4238-3dcf-a076e5e4ef6f,2025-02-19T00:29:47,NONE,USR-2557,analyst,notification-service,PUT /api/v2/customers/{id}/profile,INC-836303,398.719,70.77,0,0
67feb691-5e3b-4254-320a-857cd58695ea,2025-09-26T22:43:03,NONE,USR-2971,support_engineer,auth-service,POST /api/v2/transactions,INC-460335,427.717,101.48,22,0
33c4a954-b365-43a8-1c72-c0245867af4f,2025-10-14T12:03:29,NONE,USR-3745,operations_engineer,account-ledger-api,GET /api/v2/customers/{id},INC-264109,223.606,54.08,12,0
a711d815-ba2f-49fc-2d25-817c7e16a2ad,2025-08-19T08:40:50,NONE,USR-6964,product_manager,batch-scheduler,GET /api/v2/fraud/alerts,INC-295177,81.017,81.44,8,0
264094b8-ccc5-4187-7c48-c658f9ad5786,2025-11-24T06:20:34,NONE,USR-9985,data_engineer,notification-service,POST /api/v2/transactions,INC-277357,282.382,47.59,6,0
7655f180-7961-4bab-98fb-4f2a5da55840,2025-09-16T11:06:25,NONE,USR-3859,analyst,risk-scoring-api,DEPLOY application-service v2.1.3,NULL,391.812,27.33,11,0
bc4b2cd8-4a33-4c6d-5e0b-9b2836796661,2025-09-17T06:54:53,NONE,USR-3286,support_engineer,risk-scoring-api,GET /api/v2/fraud/alerts,INC-313275,278.031,1.0,6,0
9d4da551-7ace-45e7-cda9-4818ba6f4a4a,2025-01-22T14:32:23,NONE,USR-7607,data_engineer,compliance-db,GET /api/v2/audit/logs,INC-568755,504.977,96.22,14,0
dcbfbac0-8052-49f8-5882-fd016b6a0d9f,2025-12-27T11:35:54,NONE,USR-3980,product_manager,account-ledger-api,PATCH /api/v2/settings,INC-391036,280.987,72.65,11,0
aa77a388-747c-46cf-cf5b-092aaf85640b,2025-05-18T19:07:09,NONE,USR-8372,operations_engineer,auth-service,PATCH /api/v2/settings,INC-808292,431.68,2.92,19,0
5ae586f9-db30-4bb3-d241-94cf42311176,2025-10-10T09:22:33,NONE,USR-9981,data_engineer,data-warehouse,SELECT * FROM accounts WHERE account_id = ?,INC-393041,179.942,79.91,9,0
812369b8-e287-4d71-3e3f-4395efafd7df,2025-03-16T19:03:42,NONE,USR-4710,analyst,config-service,GET /api/v2/accounts,INC-924576,362.071,59.44,19,0
190378c7-3016-4edc-6029-3249c09b5d3a,2025-05-06T02:39:48,NONE,USR-4725,product_manager,payment-gateway,DELETE /api/v2/sessions/{id},INC-343645,391.189,58.21,2,0
075275e6-c991-4abf-8c54-e04516323072,2025-07-19T06:32:54,NONE,USR-2958,qa_engineer,identity-provider,INSERT INTO audit_log VALUES (?),INC-731733,318.211,11.67,6,0
5ac403fe-d374-4847-d7f6-b753c22697fa,2025-02-14T14:10:50,NONE,USR-8638,operations_engineer,risk-scoring-api,GET /api/v2/audit/logs,INC-787211,434.647,152.28,14,0
5595373c-d79a-4142-87a8-45c1261ee43a,2025-06-15T21:18:10,NONE,USR-2546,data_engineer,data-warehouse,POST /api/v2/kyc/verify,INC-459178,146.489,8.08,21,0
4429cc45-8ac6-42fc-c679-ffd9268bc518,2025-07-06T07:21:50,NONE,USR-3700,network_engineer,audit-log-service,SELECT * FROM accounts WHERE account_id = ?,INC-887357,266.005,33.63,7,0
97166b7e-af98-4eb7-3ad5-98ad31302cd1,2025-09-17T00:25:23,NONE,USR-5078,data_engineer,customer-portal,INSERT INTO audit_log VALUES (?),INC-140708,368.632,83.39,0,0
f39a2c5a-7be6-4a22-c5a9-d123544a47d5,2025-08-06T14:50:27,NONE,USR-9535,compliance_officer,compliance-db,POST /api/v2/auth/login,INC-812597,363.786,32.84,14,0
0ada60cf-d2ab-41ef-b7e1-c229c7b3be37,2025-06-21T07:04:14,NONE,USR-3397,operations_engineer,batch-scheduler,POST /api/v2/auth/login,INC-255032,419.654,108.96,7,0
5e6ca924-a979-4188-4b9e-5b4879fc4f34,2025-08-17T08:29:46,NONE,USR-6215,product_manager,risk-scoring-api,UPDATE customer SET status = ? WHERE id = ?,INC-495766,280.671,122.69,8,0
2a9eaa42-ebfc-4494-d0ba-30c2636cd118,2025-05-26T05:42:55,NONE,USR-2029,analyst,audit-log-service,GET /api/v2/risk/score/{id},NULL,106.413,154.69,5,0
6a69cf03-49e1-453a-aef5-22a0320a7d89,2025-11-17T02:21:03,NONE,USR-3110,operations_engineer,customer-portal,RUN test-suite:integration,INC-769029,410.581,60.56,2,0
